Sample ID	Current_Natural_Log_Ratio	geo_loc_name	proportion_survived
12079.gut.CI.E.55	1.203972804	Case Inlet	1
12079.gut.FB.E.106	-3.922314691	 Fidalgo Bay	0.8
12079.gut.PG.B.17	1.526056303	Port Gamble	0.6
12079.gut.SK.B.140	2.331821046	Skokomish	0.4
12079.gut.SK.E.155	0.685132566	Skokomish	0.8
12079.gut.CI.E.37	-3.207381445	Case Inlet	1
12079.gut.FB.E.94	-4.054339228	Fidalgo Bay	0.8
12079.gut.CI.B.69	0.510825624	Case Inlet	0.8
12079.gut.FB.B.114	-3.703190969	Fidalgo Bay	0.9
12079.gut.CI.E.67	1.767455199	Case Inlet	1
12079.gut.PG.B.25	0.764254218	Port Gamble	0.6
12079.gut.CI.B.39	-0.897678885	Case Inlet	0.8
12079.gut.PG.E.19	1.7940762	Port Gamble	0.5
12079.gut.SK.E.138	1.84582669	Skokomish	0.8
12079.gut.SK.E.153	1.736593088	Skokomish	0.8
12079.gut.PG.E.9	1.791759469	Port Gamble	0.5
12079.gut.CI.E.53	0.260681471	Case Inlet	1
12079.gut.CI.B.61	-1.887069649	Case Inlet	0.8
12079.gut.PG.E.7	1.698605857	Port Gamble	0.5
12079.gut.SK.E.145	1.00084812	Skokomish	0.8
12079.gut.FB.B.92	-3.105483138	Fidalgo Bay	0.9
12079.gut.SK.E.142	0.582120927	Skokomish	0.8
12079.gut.SK.B.132	0.17030107	Skokomish	0.4
12079.gut.CI.E.45	-1.259673846	Case Inlet	1
12079.gut.PG.E.11	2.351375257	Port Gamble	0.5
12079.gut.PG.B.23	0.832420484	Port Gamble	0.6
12079.gut.SK.B.136	1.865486077	Skokomish	0.4
12079.gut.FB.B.96	-2.819607692	Fidalgo Bay	0.9
12079.gut.FB.B.100	-4.730333329	Fidalgo Bay	0.9
12079.gut.FB.E.112	-2.823361048	Fidalgo Bay	0.8
12079.gut.PG.E.15	2.696876901	Port Gamble	0.5
12079.gut.CI.B.57	0.829559036	Case Inlet	0.8
12079.gut.FB.B.116	-3.441638351	Fidalgo Bay	0.9
12079.gut.CI.E.35	-0.555314706	Case Inlet	1
12079.gut.FB.E.98	-0.828321959	Fidalgo Bay	0.8
12079.gut.CI.B.65	0.620576488	Case Inlet	0.8
12079.gut.FB.B.118	-1.766366021	Fidalgo Bay	0.9
12079.gut.SK.E.149	3.103745518	Skokomish	0.8
12079.gut.PG.B.21	-1.011600912	Port Gamble	0.6
12079.gut.CI.E.63	1.411295663	Case Inlet	1
12079.gut.CI.B.51	0.917220532	Case Inlet	0.8
12079.gut.CI.E.49	0.592588595	Case Inlet	1
12079.gut.FB.E.86	-2.768413351	Fidalgo Bay	0.8
12079.gut.SK.E.134	2.172223275	Skokomish	0.8
12079.gut.PG.B.13	3.457892725	Port Gamble	0.6
12079.gut.FB.E.102	-6.069687418	Fidalgo Bay	0.8
12079.gut.FB.B.88	-4.965358949	Fidalgo Bay	0.9
12079.gut.CI.B.47	-3.031084792	Case Inlet	0.8
12079.gut.FB.E.90	-5.14346131	Fidalgo Bay	0.8
12079.gut.SK.E.151	1.000719411	Skokomish	0.8